iter	RMSE
0	3.410532616
1	3.196970771
2	2.999234518
3	2.82916925
4	2.675231945
5	2.540967264
6	2.421405819
7	2.318892248
8	2.217928648
9	2.123399879
10	2.035183035
11	1.959372323
12	1.893929697
13	1.834659806
14	1.774226762
15	1.718836847
16	1.670314697
17	1.625078991
18	1.592230944
19	1.55492409
20	1.527745016
21	1.495788784
22	1.472339494
23	1.446276574
24	1.425820025
25	1.398242899
26	1.380346186
27	1.360076914
28	1.345021305
29	1.329402729
30	1.308065204
31	1.296219621
32	1.281952597
33	1.269126701
34	1.250614089
35	1.238201974
36	1.232754747
37	1.220779995
38	1.210494113
39	1.200314088
40	1.192685477
41	1.18360161
42	1.17563712
43	1.171049103
44	1.164648819
45	1.15888757
46	1.152945608
47	1.149432439
48	1.142079847
49	1.136326872
50	1.127016102
51	1.121261655
52	1.118544115
53	1.115036208
54	1.109787262
55	1.103397236
56	1.096485537
57	1.094194008
58	1.092683749
59	1.088218059
60	1.082879793
61	1.075889665
62	1.073294964
63	1.069001218
64	1.063329671
65	1.058806564
66	1.05536505
67	1.049802316
68	1.04517081
69	1.041526704
70	1.035304661
71	1.028967295
72	1.025186679
73	1.021002929
74	1.016239516
75	1.013201372
76	1.009147328
77	1.002560198
78	0.9987075378
79	0.9984775253
80	0.9944273778
81	0.9882849887
82	0.9842084744
83	0.9795849283
84	0.9714816295
85	0.968771151
86	0.9656414338
87	0.9598683836
88	0.9560000232
89	0.9524235054
90	0.9471557388
91	0.9410604976
92	0.9381793612
93	0.9348434612
94	0.9311693499
95	0.9268296112
96	0.9243557988
97	0.9212488885
98	0.9183974
99	0.9141743857
100	0.9115122674
101	0.904773689
102	0.9035154927
103	0.8989264638
104	0.8953322361
105	0.892540049
106	0.8877517017
107	0.8851739225
108	0.883139413
109	0.8806356526
110	0.8782862452
111	0.8743741765
112	0.8719809022
113	0.8685149632
114	0.8649128509
115	0.8635755485
116	0.8595693635
117	0.8579742534
118	0.854537277
119	0.8517173169
120	0.848329694
121	0.8459642635
122	0.8436679838
123	0.8402180734
124	0.8377754138
125	0.8342479718
126	0.8321798574
127	0.8305568896
128	0.8283053898
129	0.8255398133
130	0.82242076
131	0.8198343437
132	0.8166156328
133	0.8154979203
134	0.8130460261
135	0.8103412721
136	0.807952297
137	0.8055612528
138	0.8047202058
139	0.8019842731
140	0.7958144274
141	0.7949658682
142	0.793251698
143	0.7925249715
144	0.7892840423
145	0.7857026982
146	0.7839560288
147	0.7803368587
148	0.7792973072
149	0.7771691032
150	0.7757569204
151	0.7751608953
152	0.773395655
153	0.771873813
154	0.7703846582
155	0.766981801
156	0.7639746299
157	0.7614282365
158	0.7600768123
159	0.7577109798
160	0.7562831861
161	0.7538145667
162	0.7532648833
163	0.7501434869
164	0.7490409798
165	0.7467797884
166	0.7445585819
167	0.7433894276
168	0.7423879696
169	0.7406903741
170	0.7386566467
171	0.7343340714
172	0.7329228239
173	0.7279764763
174	0.7231355542
175	0.7210603061
176	0.7188257701
177	0.7175352517
178	0.7160335448
179	0.7130858717
180	0.7123114526
181	0.7115511984
182	0.7086714654
183	0.7069859001
184	0.7054081494
185	0.7042331335
186	0.7025083977
187	0.7017382146
188	0.6987079935
189	0.6969985214
190	0.6953041488
191	0.6926772475
192	0.6907462556
193	0.6898847036
194	0.6882386312
195	0.6873625776
196	0.6853679187
197	0.6836935036
198	0.682919297
199	0.681155231
200	0.6796856496
201	0.6780863276
202	0.6769522657
203	0.6751674142
204	0.6726430285
205	0.6719203751
206	0.6672094113
207	0.6661216232
208	0.6644266587
209	0.6608509752
210	0.6595117554
211	0.6583045137
212	0.6576627521
213	0.6552567933
214	0.6538955903
215	0.6525577791
216	0.651960151
217	0.6504693208
218	0.6463013431
219	0.6449043457
220	0.6426359381
221	0.6393311105
222	0.6388597848
223	0.6375191278
224	0.6360837139
225	0.6343117629
226	0.6327005844
227	0.6315090694
228	0.6290480067
229	0.6280849706
230	0.627158205
231	0.6262527199
232	0.6249378066
233	0.6237681229
234	0.6232273386
235	0.6224129556
236	0.6201739805
237	0.6191832757
238	0.617495465
239	0.6168870483
240	0.6155417531
241	0.6140528296
242	0.6121963129
243	0.6111180687
244	0.6108380109
245	0.6096654528
246	0.608629312
247	0.6077098062
248	0.6066065203
249	0.6049641114
250	0.6043546283
251	0.6031221277
252	0.6021395057
253	0.5999944387
254	0.5979643809
255	0.596663865
256	0.5955833935
257	0.59484243
258	0.5940910736
259	0.5920254865
260	0.5909228036
261	0.5884228998
262	0.5870940189
263	0.5868794276
264	0.5860740973
265	0.584333214
266	0.5830800322
267	0.5818902336
268	0.5812481544
269	0.5798079622
270	0.5790340392
271	0.5784051295
272	0.5777469202
273	0.5765180884
274	0.5763313719
275	0.575826402
276	0.5751210688
277	0.5735927439
278	0.5712424134
279	0.5711733731
280	0.5696958308
281	0.5686694157
282	0.5663013627
283	0.5656232867
284	0.564574005
285	0.5624632398
286	0.5612415798
287	0.5611650845
288	0.5593045131
289	0.558369541
290	0.5573081539
291	0.5566615423
292	0.5543388535
293	0.5526797816
294	0.5517899566
295	0.5506579424
296	0.550307028
297	0.5477049123
298	0.5472509494
299	0.5467558236
