iter	Passed	Remaining
0	1	471
1	2	351
2	3	329
3	4	310
4	5	297
5	5	288
6	6	282
7	7	274
8	8	271
9	9	261
10	9	253
11	10	249
12	11	247
13	11	245
14	12	243
15	13	243
16	14	241
17	15	238
18	15	235
19	16	232
20	17	230
21	18	230
22	19	229
23	19	227
24	20	224
25	21	222
26	21	220
27	22	218
28	23	216
29	23	215
30	24	214
31	25	212
32	26	211
33	26	209
34	27	206
35	28	205
36	28	204
37	29	203
38	30	203
39	31	202
40	31	201
41	32	200
42	33	199
43	34	198
44	34	197
45	35	196
46	36	195
47	37	195
48	38	194
49	38	193
50	39	192
51	40	192
52	41	191
53	41	190
54	42	189
55	43	188
56	43	187
57	44	187
58	45	184
59	45	183
60	46	182
61	47	181
62	47	180
63	48	179
64	49	178
65	50	177
66	50	176
67	51	175
68	52	174
69	53	174
70	53	173
71	54	172
72	55	171
73	56	171
74	56	170
75	57	169
76	58	168
77	58	167
78	59	166
79	59	164
80	60	163
81	61	162
82	61	161
83	62	161
84	63	160
85	64	160
86	65	159
87	65	158
88	66	157
89	67	156
90	67	155
91	68	155
92	69	154
93	70	153
94	70	153
95	71	152
96	72	151
97	73	150
98	74	150
99	74	149
100	75	149
101	76	148
102	77	147
103	77	146
104	78	146
105	79	145
106	80	144
107	81	144
108	81	143
109	82	142
110	83	141
111	83	140
112	84	140
113	85	139
114	86	138
115	86	137
116	87	137
117	88	136
118	89	135
119	90	135
120	91	134
121	91	133
122	92	133
123	93	132
124	94	131
125	94	130
126	95	130
127	96	129
128	97	128
129	98	128
130	98	127
131	99	126
132	100	126
133	101	125
134	102	124
135	102	123
136	103	123
137	104	122
138	104	121
139	105	120
140	106	119
141	107	119
142	107	118
143	108	117
144	109	116
145	109	115
146	110	115
147	111	114
148	112	113
149	112	112
150	113	111
151	114	111
152	114	110
153	115	109
154	116	108
155	117	108
156	118	107
157	118	106
158	119	106
159	120	105
160	121	104
161	121	103
162	122	103
163	123	102
164	124	101
165	124	100
166	125	100
167	126	99
168	127	98
169	127	97
170	128	96
171	129	96
172	129	95
173	130	94
174	131	93
175	132	93
176	132	92
177	133	91
178	134	90
179	135	90
180	135	89
181	136	88
182	137	87
183	138	87
184	139	86
185	139	85
186	140	84
187	141	84
188	142	83
189	142	82
190	143	81
191	144	81
192	145	80
193	145	79
194	146	78
195	147	78
196	148	77
197	148	76
198	149	75
199	150	75
200	151	74
201	151	73
202	152	72
203	153	72
204	154	71
205	154	70
206	155	69
207	156	69
208	157	68
209	157	67
210	158	66
211	159	66
212	160	65
213	160	64
214	161	63
215	162	63
216	162	62
217	163	61
218	164	60
219	165	60
220	165	59
221	166	58
222	167	57
223	168	57
224	168	56
225	169	55
226	170	54
227	171	54
228	171	53
229	172	52
230	173	51
231	174	51
232	174	50
233	175	49
234	176	48
235	177	48
236	177	47
237	178	46
238	179	45
239	179	44
240	180	44
241	181	43
242	182	42
243	182	41
244	183	41
245	184	40
246	185	39
247	186	39
248	186	38
249	187	37
250	188	36
251	189	36
252	190	35
253	190	34
254	191	33
255	192	33
256	193	32
257	193	31
258	194	30
259	195	30
260	196	29
261	197	28
262	197	27
263	198	27
264	198	26
265	199	25
266	200	24
267	201	24
268	201	23
269	202	22
270	203	21
271	203	20
272	204	20
273	205	19
274	206	18
275	207	18
276	207	17
277	208	16
278	209	15
279	210	15
280	210	14
281	211	13
282	212	12
283	213	12
284	213	11
285	214	10
286	215	9
287	216	9
288	216	8
289	217	7
290	218	6
291	219	6
292	219	5
293	220	4
294	221	3
295	222	3
296	223	2
297	223	1
298	224	0
299	225	0
